$1980-01-01

JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1,-12.390182578520921,-13.680053213867836,3.3361140753871585,5.3349757130426845,8
2,-10.303182370094419,-14.450974066115236,3.11457986509098,5.3408524781469096,1
3,-14.742540201764541,-16.29229169748396,1.3854398724193977,3.907071879403724,7
4,-15.319239066716818,-16.29743606923398,1.7335192303995073,3.0344722947492038,9
5,1.9990236290818757,1.1941627909564545,2.574771020167842,3.1734984325918134,9
6,0.32292663533240784,-0.22788854278871895,1.1281718777944014,3.2898758324206447,10
7,0.7983762482082284,0.22408126095979242,1.127281075784197,4.697099903573055,10
8,-4.504975201181196,-5.736408321644944,1.6272844699774598,5.087856770164193,2
9,-6.910910553648591,-9.846026439630919,1.5632801998752994,4.446926375353922,5
10,-6.164197319584559,-11.44188404750048,2.9867729227548065,5.560222842661029,0
11,-9.061613416506532,-14.560108238239877,3.5982655598702835,6.110307132474211,5
12,-12.12862201065667,-16.845679115732082,3.4520272068801794,5.610546680787316,4
13,-14.796117930988316,-17.723896864479087,2.3567692093158397,4.932034421448476,7
14,-17.900251250899828,-21.549472170841057,1.8147594700925678,4.432807478303289,8
15,-18.60773039978423,-21.95881718008968,2.4185820432007468,4.014589274161759,9
16,-18.811072647704492,-22.60884529621245,2.038248786359862,3.971571464524782,6
17,-8.904255203904313,-10.792590841627714,2.3969359937159775,3.0441281470840784,8
18,2.131913272432257,0.9821411838321978,5.189820911468499,2.4447192581294286,10
19,0.552846811922791,0.023083307585466173,0.9932957596233964,2.55331058287642,8
20,-3.089595031528688,-4.978715853897484,2.506590352070875,2.063310915093004,7
21,0.4368320439184572,-2.0559777896574474,4.105925699935525,2.7593783922301713,9
22,-3.395030275292754,-5.123125718022038,1.9694298130793626,4.74925829881458,8
23,-11.888998780742327,-16.10856413498459,2.559372395334974,3.8889419907157734,0
24,-10.963411868009814,-12.898843618120509,2.0143416030073698,3.2827467131976324,7
25,0.24277097743856757,-1.5628530119091693,4.297374609690549,1.8885975132306256,9
26,1.1616079400326385,0.6036624050834689,3.39634623830888,1.9449345532979336,10
27,-1.167124857726435,-1.7892053689083696,1.1242978312756249,2.7215843614308737,9
28,-2.2437419048063703,-3.3071624902781878,2.030741473104968,4.79540943769589,6
29,-5.403984185243644,-9.172848650633227,2.330012612817928,5.270422253727685,0
30,-4.418491465032503,-7.796361752387895,4.334279191505674,6.236748631253015,6
31,-3.8476988064513193,-5.5556204001455285,5.255318854931987,6.120676879274963,9
32,-4.500206166117891,-6.917365433318309,3.1986236158910337,5.359275246087231,9
33,-3.4174969437157188,-4.373596817388375,1.1836401389135853,5.204888318767008,9
34,-5.394222549979361,-6.433083582237998,0.7168175613797225,4.734712413223886,9
35,-7.555289587605557,-9.24906740473682,2.436584775191713,1.8481434721756653,5
36,-0.9902029032847395,-1.7040317802410527,1.6356219140197947,2.918481243530135,8
37,0.22265295198928925,-0.580112934937631,0.5070751693311455,0.819356828644394,10
38,-4.703535556075735,-8.240633798583815,2.4736726618592395,3.5728929887669083,4
39,-0.28013236831515087,-2.6502545879231434,4.57776392929705,2.3142488603354754,8
40,2.0605291110248345,1.4113200282697562,3.9503640036314613,2.2218075551573215,10
41,0.7535246277158194,0.18978865939868683,1.0123907847312423,2.4988456866933335,10
42,3.2896038475989826,2.6166972119024763,3.8141790976900976,2.0826163124306616,10
43,1.9082298597917884,0.9971542152450752,2.2072086515481324,2.182545233550374,9
44,1.6364647023967223,1.030493703928414,2.055844136837774,1.9498951411573393,9
45,-1.9123056425684126,-2.837574395473723,1.2231346302345514,2.691211546298528,9
46,0.6111149382511485,-2.120947241816907,1.0280604410384993,1.4438048741097753,4
47,-4.386673997016885,-5.550102691233576,0.9384455316225578,2.8395807937900153,6
48,-5.6363190220692445,-8.725603061801905,0.5805589762566772,4.165844181585054,0
49,-5.195244567199552,-7.8116886245964565,1.0260659540523924,3.5294258076286873,1
50,-3.8059589299776917,-5.670743521417535,1.3533948780853744,4.931638249769604,8
51,-4.161587571168582,-5.370688123267712,0.6538237647679996,4.551993555926854,8
52,-4.230814503547208,-6.2148302284864485,1.1202256469345777,2.2142845331143897,9
53,-8.322719580831745,-9.4363872122874,0.6578349120964833,3.4523905074454633,8
54,0.3721831259271653,-0.9396294830071952,3.351867577310395,1.600840954289701,10
55,-3.1128984412496266,-5.143842117793611,1.598614421285322,3.138063738760382,9
56,-0.272220718900428,-1.5376780428933898,1.768670250648033,1.6335096601166064,9
57,-0.19706004946078792,-2.9977414235811466,1.9837685730566736,5.678358380005024,9
